-86,-76,-85,-63,0,-90,0,0,1
-86,-83,-87,-65,0,0,0,0,1
-89,-72,-86,-65,0,0,0,0,1
-90,-76,-90,-70,0,0,0,0,1
-90,-75,-90,-65,0,-90,0,0,1
-90,-76,0,-64,0,0,0,0,1
-87,-74,-86,-66,0,-92,0,0,1
-84,-75,-84,-65,0,0,0,0,1
-79,-78,-90,-59,0,-91,0,0,1
-87,-69,-88,-53,-90,-92,0,0,1
-78,-72,-86,-56,-88,-91,0,0,1
-87,-65,-90,-57,0,-86,0,0,1
-87,-75,-89,-54,0,-88,0,0,1
-82,-67,-91,-49,0,-79,0,0,1
-85,-72,-87,-51,0,-81,0,0,1
-84,-73,-92,-52,0,-81,0,0,1
-92,-69,-92,-37,0,-78,0,0,1
0,-79,0,-33,0,0,0,0,1
0,-74,0,-26,0,0,0,0,1
-87,-76,0,-13,0,-91,0,0,1
-88,-77,0,-20,0,-92,0,0,1
-93,-74,0,-17,0,-92,0,0,1
-83,-67,0,-18,0,-73,0,0,1
-82,-67,0,-38,0,-75,0,0,1
-76,-69,0,-52,0,-74,0,0,1
-84,-63,0,-49,0,-75,0,0,1
-89,-64,0,-45,0,-84,0,0,1
-93,-70,0,-48,0,-83,0,0,1
-78,-62,0,-46,0,-85,0,0,1
-88,-67,-87,-58,0,-85,0,0,1
-73,-71,0,-57,-89,-85,0,0,1
-84,-77,-88,-56,0,-88,0,0,1
-86,-63,-90,-65,0,-84,0,0,1
-82,-65,-94,-52,0,-86,0,0,1
-81,-64,-88,-50,0,-88,0,0,1
-79,-66,-91,-47,0,-83,0,0,1
-82,-79,-90,-51,0,-88,0,0,1
-88,-73,-93,-53,0,-89,0,0,1
-90,-72,0,-62,0,-90,0,0,1
-93,-70,-90,-56,0,-92,0,0,1
-92,-70,0,-57,0,-89,0,0,1
0,-74,0,-48,0,-85,0,0,1
-86,-69,0,-49,0,-87,0,0,1
-85,0,0,-46,0,0,0,0,1
-87,-67,-92,-50,0,-85,0,0,1
-87,-73,0,-53,0,-85,0,0,1
-92,-68,-86,-48,0,-91,0,0,1
-83,-62,-89,-36,0,-86,0,0,1
-87,-73,0,-35,0,-77,0,0,1
-88,-74,0,-41,0,-89,0,0,1
-78,-68,0,-45,0,-87,0,0,1
-74,-76,-88,-64,0,-94,0,0,1
-84,-64,-91,-58,0,-92,0,0,1
-79,-66,0,-55,0,-90,0,0,1
-82,-68,-84,-53,0,0,0,0,1
-85,-77,-87,-53,0,-95,0,0,1
-81,-74,-77,-66,0,-91,0,0,1
-88,-79,-79,-67,0,-91,0,0,1
-91,-81,-76,-62,0,-90,0,0,1
-89,-83,-90,-58,0,-89,0,0,1
-86,-81,-76,-46,0,-90,0,0,1
-86,-79,-82,-54,-90,-87,0,0,1
-89,-72,-89,-48,0,-91,0,0,1
-89,-64,-90,-60,0,-89,0,0,1
-75,-63,-83,-49,0,-83,0,0,1
-76,-67,-88,-50,0,-84,0,0,1
-77,-61,0,-52,0,-83,0,0,1
-76,-66,-85,-53,0,-88,0,0,1
-82,-76,0,-47,0,-89,0,0,1
-92,-66,0,-38,0,-86,0,0,1
0,-66,0,-32,0,-80,0,0,1
-88,-73,0,-28,0,-82,0,0,1
0,-64,0,-29,0,-87,0,0,1
-90,-65,0,-34,0,-86,0,0,1
-87,-65,0,-33,0,-82,0,0,1
0,-64,0,-29,0,-84,0,0,1
0,-65,0,-30,0,-86,0,0,1
0,-65,0,-31,0,-85,0,0,1
0,-68,0,-30,0,-84,0,0,1
-91,-69,0,-33,0,0,0,0,1
-92,-64,-91,-31,0,-81,0,0,1
0,-67,0,-32,0,-82,0,0,1
-90,-64,0,-31,0,-86,0,0,1
0,-64,0,-31,0,-84,0,0,1
0,-64,0,-33,0,-84,0,0,1
0,-64,0,-30,0,-82,0,0,1
-95,-64,0,-31,0,-83,0,0,1
0,-64,0,-32,0,-82,0,0,1
-90,-64,0,-31,0,-83,0,0,1
0,-65,0,-29,0,-83,0,0,1
-88,-64,0,-30,0,-82,0,0,1
-91,-69,0,-30,0,-84,0,0,1
-92,-63,-90,-29,0,-82,0,0,1
-92,-81,0,-43,0,-89,0,0,1
0,-71,0,-57,0,-76,0,0,1
-84,-70,0,-41,0,-78,0,0,1
0,-79,0,-44,0,-77,0,0,1
0,-68,0,-49,0,-78,0,0,1
-93,-65,0,-46,0,-80,0,0,1
-92,-69,0,-43,0,-74,0,0,1
-84,-68,0,-55,0,-75,0,0,1
0,-76,0,-42,0,-75,0,0,1
-88,-76,0,-43,0,-73,0,0,1
-89,-74,0,-50,0,-75,0,0,1
0,-71,0,-49,0,-76,0,0,1
-84,-76,0,-46,0,-74,0,0,1
-86,-80,0,-50,0,-76,0,0,1
-89,-82,0,-49,0,-78,0,0,1
-91,-88,0,-48,0,-75,0,0,1
-89,-76,0,-45,0,-76,0,0,1
-82,-68,0,-42,0,-79,0,0,1
-85,-70,-92,-41,0,-82,0,0,1
-91,-77,0,-39,0,-80,0,0,1
-86,-78,0,-45,0,-81,0,0,1
0,-73,0,-48,0,-76,0,0,1
-90,-71,0,-45,0,-79,0,0,1
0,-75,0,-46,0,-73,0,0,1
-86,-73,0,-48,0,-78,0,0,1
-86,-72,0,-48,0,-77,0,0,1
-88,-76,0,-50,0,-76,0,0,1
-89,-72,0,-47,0,-75,0,0,1
-91,-59,0,-35,0,-80,0,0,1
0,-68,-91,-35,0,-81,0,0,1
-90,-62,0,-39,0,-84,0,0,1
-91,-60,0,-38,0,-97,0,0,1
-93,-61,-91,-37,0,-89,0,0,1
-88,-60,0,-36,0,-86,0,0,1
-86,-58,-90,-38,0,-83,0,0,1
-87,-61,-90,-38,0,-84,0,0,1
-82,-66,0,-50,0,-74,0,0,1
-93,-70,0,-54,0,-80,0,0,1
0,-75,0,-48,0,-82,0,0,1
-85,-69,0,-49,0,-74,0,0,1
-87,-63,0,-62,0,-76,0,0,1
0,-59,0,-57,0,-86,0,0,1
0,-66,0,-50,0,-81,0,0,1
-78,-82,0,-39,0,-78,0,0,1
-84,-68,0,-53,0,-78,0,0,1
-82,-76,-91,-56,0,-83,0,0,1
-82,-63,0,-55,0,-90,0,0,1
-83,-66,-88,-54,0,-88,0,0,1
-84,-77,-87,-53,0,-86,0,0,1
-88,-74,-87,-61,0,-90,0,0,1
-91,-84,-91,-60,0,-90,0,0,1
-90,-81,-83,-53,0,0,0,0,1
-78,-78,0,-55,0,-91,0,0,1
-84,-85,-71,-49,-91,-90,0,0,1
-90,-82,-87,-62,0,-93,0,0,1
-92,-79,-83,-52,0,-85,0,0,1
-86,-83,-88,-52,0,-88,0,0,1
0,-74,-89,-52,0,-91,0,0,1
-83,-82,-77,-53,0,-90,0,0,1
-89,-76,-87,-62,0,-90,0,0,1
-87,-80,-88,-50,0,-89,0,0,1
-86,-77,-84,-53,0,-86,0,0,1
0,-81,-82,-60,0,-93,0,0,1
0,-73,-88,-58,0,-87,0,0,1
-90,-74,0,-50,0,-89,0,0,1
-82,-70,-90,-51,-89,0,0,0,1
-84,-73,-87,-66,-87,-88,0,0,1
-77,-67,-90,-56,-91,-87,0,0,1
-89,-82,-83,-54,0,-90,0,0,1
-94,-77,-82,-53,0,-91,0,0,1
-89,-80,-72,-56,0,-92,0,0,1
-91,-68,-81,-58,0,-88,0,0,1
-90,-88,-85,-64,0,-91,0,0,1
-88,-81,-86,-51,0,-91,0,0,1
-89,-67,0,-53,0,-92,0,0,1
0,-85,-90,-63,0,-87,0,0,1
-84,-80,-86,-59,0,-89,0,0,1
0,-76,-85,-51,0,-89,0,0,1
0,-77,-87,-55,-90,-88,0,0,1
-89,-72,-85,-53,0,-86,0,0,1
-92,-84,-87,-53,0,-93,0,0,1
0,-70,-85,-55,0,-86,0,0,1
-91,-79,-85,-57,0,-90,0,0,1
0,-75,-89,-57,0,-89,0,0,1
-89,-85,-85,-55,0,-90,0,0,1
